_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
131184,4152924,2017.0,2021,1992.0,TCHC,9,Davenport,77 RANKIN CRES,7,121,2021-05-05,73,Evaluation needs to be conducted in 2 years,19,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,S0929,43.658340191,-79.446051646,309135.503,4835156.725
131185,4155014,2017.0,2021,1952.0,PRIVATE,9,Davenport,345 WESTMOUNT AVE,3,29,2021-05-05,71,Evaluation needs to be conducted in 2 years,14,3.0,4.0,4.0,3.0,,3.0,,4.0,,,3.0,3.0,4.0,4.0,4.0,3.0,,4.0,4.0,,S0925,43.684414026800006,-79.4441626996,309286.131,4838052.524
131186,4155764,2019.0,2021,1955.0,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2021-05-05,37,Building Audit,14,2.0,2.0,3.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,3.0,2.0,2.0,2.0,,2.0,,,W0334,43.592762174499995,-79.527405433,302571.59,4827869.423
131187,4153108,2018.0,2021,,PRIVATE,9,Davenport,156 BRANDON AVE,4,19,2021-05-05,67,Evaluation needs to be conducted in 2 years,14,3.0,3.0,3.0,3.0,,4.0,,3.0,,,3.0,3.0,5.0,4.0,3.0,3.0,,4.0,3.0,,S0927,43.669233242,-79.44593058699999,309144.453,4836366.875
131188,4153106,2017.0,2021,1992.0,SOCIAL HOUSING,9,Davenport,223 OSLER ST,4,13,2021-05-05,64,Evaluation needs to be conducted in 1 year,18,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,S0926,43.669760121,-79.458975993,308092.381,4836424.835
131189,4155373,2017.0,2021,1966.0,PRIVATE,2,Etobicoke Centre,340 THE EAST MALL,8,77,2021-05-04,84,Evaluation needs to be conducted in 3 years,19,4.0,5.0,5.0,4.0,5.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,W0234,43.639211983,-79.55727457399999,300163.043,4833031.882
131190,4155506,2017.0,2021,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2660 LAKE SHORE BLVD W,4,15,2021-05-04,70,Evaluation needs to be conducted in 2 years,14,3.0,4.0,4.0,3.0,4.0,2.0,,3.0,,,4.0,4.0,4.0,3.0,4.0,4.0,,3.0,,,W0335,43.6035699967,-79.4939393682,305273.57899999997,4829069.811000001
131191,4155507,2017.0,2021,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2666 LAKE SHORE BLVD W,4,16,2021-05-04,69,Evaluation needs to be conducted in 2 years,14,3.0,3.0,4.0,4.0,4.0,2.0,,3.0,,,3.0,4.0,4.0,3.0,4.0,4.0,,3.0,,,W0335,43.6034395527,-79.4942895822,305245.309,4829055.318
131192,4356717,2018.0,2021,1954.0,PRIVATE,3,Etobicoke-Lakeshore,177 STEPHEN DR,4,44,2021-05-04,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,,,W0327,43.639915396999996,-79.487892324,305761.06,4833089.217
131193,4356415,2018.0,2021,1954.0,PRIVATE,3,Etobicoke-Lakeshore,173 STEPHEN DR,6,13,2021-05-04,79,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,,,W0327,43.6396535446,-79.487507425,305766.456,4833070.166
131194,4155707,2017.0,2021,1970.0,TCHC,2,Etobicoke Centre,27 SCARLETTWOOD CRT,3,14,2021-05-04,67,Evaluation needs to be conducted in 2 years,17,3.0,3.0,4.0,2.0,3.0,4.0,,3.0,,3.0,3.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,,W0224,43.693274018000004,-79.516001007,303494.335,4839036.572
131195,4885483,2021.0,2021,2017.0,PRIVATE,11,University-Rosedale,2 ST THOMAS ST,26,248,2021-05-04,100,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,S1136,43.668117872399996,-79.39082961439999,313588.375,4836246.356000001
131196,4156285,2017.0,2021,1956.0,PRIVATE,2,Etobicoke Centre,319 THE KINGSWAY,3,21,2021-05-04,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,3.0,,3.0,,4.0,4.0,3.0,5.0,4.0,3.0,3.0,,4.0,3.0,,W0229,43.665207485500005,-79.5235149281,302887.88899999997,4835917.715
131197,4155236,2017.0,2021,1956.0,PRIVATE,3,Etobicoke-Lakeshore,2 NEWHOLM RD,4,51,2021-05-03,74,Evaluation needs to be conducted in 2 years,17,4.0,3.0,4.0,4.0,3.0,4.0,,4.0,,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,,W0329,43.6360380172,-79.48840230260001,305720.128,4832676.874
131198,4155267,2017.0,2021,1954.0,PRIVATE,3,Etobicoke-Lakeshore,10 HILL HEIGHTS RD,4,34,2021-05-03,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,3.0,2.0,4.0,,3.0,,4.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,,W0327,43.639073561000004,-79.4920727048,305423.94,4833014.077
131199,4155333,2017.0,2021,1955.0,PRIVATE,2,Etobicoke Centre,15 ANGLESEY BLVD,3,41,2021-05-03,84,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,4.0,5.0,3.0,,3.0,,4.0,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,2.0,,W0229,43.6641882866,-79.5210515699,303086.51,4835804.43
131200,4155317,2017.0,2021,1958.0,PRIVATE,2,Etobicoke Centre,14-16 ANGLESEY BLVD,4,24,2021-05-03,75,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,3.0,4.0,3.0,,3.0,,4.0,3.0,4.0,5.0,4.0,5.0,2.0,,4.0,4.0,,W0229,43.6652491637,-79.52117214020001,303076.82399999996,4835922.29
131201,4155257,2017.0,2021,1968.0,PRIVATE,3,Etobicoke-Lakeshore,5 HILL HEIGHTS RD,5,36,2021-05-03,83,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,4.0,4.0,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,,W0327,43.638458523599994,-79.4925019413,305389.291,4832945.746
131202,4153389,2018.0,2021,1993.0,SOCIAL HOUSING,13,Toronto Centre,110 THE ESPLANADE,9,205,2021-05-03,82,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,S1339,43.6480302618,-79.3723912336,315078.766,4834016.84
131203,4155246,2017.0,2021,1956.0,PRIVATE,3,Etobicoke-Lakeshore,2 KINSDALE BLVD,4,45,2021-05-03,84,Evaluation needs to be conducted in 3 years,17,4.0,4.0,4.0,3.0,4.0,4.0,,3.0,,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,W0329,43.637018605,-79.488272958,305733.855,4832772.095
131204,4155238,2017.0,2021,1953.0,PRIVATE,3,Etobicoke-Lakeshore,4 KINSDALE BLVD,4,42,2021-05-03,69,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,2.0,3.0,4.0,,4.0,,,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,,W0329,43.636181771000004,-79.48992422,305597.035,4832693.783
131205,4155229,2017.0,2021,1956.0,PRIVATE,3,Etobicoke-Lakeshore,5 KINSDALE BLVD,4,22,2021-05-03,74,Evaluation needs to be conducted in 2 years,17,4.0,5.0,4.0,4.0,3.0,2.0,,4.0,,3.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,,W0329,43.635353724,-79.49124561,305490.661,4832600.828
131206,4155255,2017.0,2021,1954.0,PRIVATE,3,Etobicoke-Lakeshore,1 HILL HEIGHTS RD,4,30,2021-05-03,79,Evaluation needs to be conducted in 2 years,17,4.0,5.0,4.0,3.0,4.0,4.0,,4.0,,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,,W0327,43.638061568299996,-79.4937696446,305286.99,4832901.638
131207,4155242,2017.0,2021,1959.0,PRIVATE,3,Etobicoke-Lakeshore,10 KINSDALE BLVD,4,23,2021-05-03,71,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,3.0,4.0,3.0,,4.0,,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,,W0329,43.635816471999995,-79.491575949,305463.99600000004,4832652.234
131208,4155351,2017.0,2021,1995.0,SOCIAL HOUSING,2,Etobicoke Centre,1447 ROYAL YORK RD,4,108,2021-05-03,92,Evaluation needs to be conducted in 3 years,17,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0,5.0,4.0,4.0,,5.0,4.0,,W0224,43.6865275325,-79.5276550192,302554.88300000003,4838286.392
131209,4153515,2017.0,2021,1994.0,TCHC,13,Toronto Centre,21 ST JOSEPH ST,5,35,2021-04-30,83,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,,S1321,43.665635432399995,-79.386388138,313946.94899999996,4835971.066000001
131210,4155117,2017.0,2021,1970.0,PRIVATE,5,York South-Weston,5 GREENTREE CRT,3,17,2021-04-30,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,,3.0,3.0,4.0,5.0,3.0,4.0,3.0,,4.0,3.0,,W0532,43.692263947200004,-79.4789792359,306478.974,4838923.358
131211,4156744,2018.0,2021,1945.0,PRIVATE,9,Davenport,36 ROSECLIFFE AVE,4,26,2021-04-30,71,Evaluation needs to be conducted in 2 years,13,3.0,3.0,5.0,3.0,,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,4.0,,3.0,,,S0925,43.683961366000005,-79.443796242,309315.445,4838003.208000001
131212,4153857,2017.0,2021,1987.0,TCHC,15,Don Valley West,2567 YONGE ST,6,105,2021-04-30,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,,3.0,2.0,5.0,4.0,4.0,4.0,,5.0,3.0,,N1526,43.714048186499994,-79.3993963134,312891.412,4841348.24
131213,4153859,2017.0,2021,1937.0,TCHC,15,Don Valley West,2745 YONGE ST,4,41,2021-04-30,71,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,3.0,,3.0,3.0,4.0,,,3.0,3.0,4.0,4.0,3.0,4.0,,4.0,3.0,,N1526,43.7180441891,-79.4001039683,312833.856,4841792.101
131214,4153860,2017.0,2021,1970.0,TCHC,15,Don Valley West,2765 YONGE ST,4,31,2021-04-30,73,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,,,3.0,3.0,5.0,4.0,4.0,3.0,,4.0,3.0,,N1526,43.7184879937,-79.40010634069999,312833.606,4841841.405
131215,4153644,2017.0,2021,1996.0,SOCIAL HOUSING,14,Toronto-Danforth,1119 GERRARD ST E,5,29,2021-04-30,74,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,,3.0,4.0,4.0,4.0,3.0,3.0,,4.0,3.0,,S1438,43.669550576099994,-79.33319415449999,318246.299,4836419.586
131216,4155626,2017.0,2021,1957.0,TCHC,8,Eglinton-Lawrence,5 LEILA LANE,3,31,2021-04-30,69,Evaluation needs to be conducted in 2 years,16,2.0,4.0,5.0,3.0,4.0,4.0,,4.0,4.0,,2.0,3.0,5.0,3.0,2.0,3.0,,3.0,4.0,,N0823,43.721282345,-79.44523975,309196.44899999996,4842149.3319999995
131217,4153568,2017.0,2021,1992.0,SOCIAL HOUSING,13,Toronto Centre,205 PARLIAMENT ST,6,16,2021-04-30,89,Evaluation needs to be conducted in 3 years,18,4.0,5.0,5.0,5.0,5.0,5.0,,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,S1330,43.656443931000005,-79.364457056,315717.036,4834953.523
131218,4154566,2017.0,2021,1960.0,PRIVATE,8,Eglinton-Lawrence,96 MULHOLLAND AVE,3,11,2021-04-30,69,Evaluation needs to be conducted in 2 years,15,2.0,4.0,4.0,2.0,3.0,3.0,,4.0,,,2.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,N0823,43.7207064297,-79.4552747615,308388.209,4842083.9180000005
131219,4155595,2017.0,2021,1996.0,TCHC,10,Spadina-Fort York,1 CHURCH ST,13,115,2021-04-30,87,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,4.0,5.0,5.0,5.0,4.0,5.0,,4.0,4.0,4.0,S1038,43.647032851599995,-79.3728697107,315040.337,4833905.973999999
131220,4155641,2017.0,2021,1957.0,TCHC,8,Eglinton-Lawrence,51 BLOSSOMFIELD DR,4,30,2021-04-30,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,2.0,4.0,3.0,,3.0,,,2.0,3.0,5.0,3.0,3.0,4.0,,4.0,4.0,,N0823,43.718564843500005,-79.44814255760001,308963.0,4841846.317
131221,4155914,2017.0,2021,1992.0,TCHC,8,Eglinton-Lawrence,3036 BATHURST ST,7,160,2021-04-30,73,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,,N0827,43.718503226,-79.429840681,310431.385,4841846.135
131222,4154679,2017.0,2021,1953.0,PRIVATE,8,Eglinton-Lawrence,2135 AVENUE RD,3,54,2021-04-30,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,3.0,4.0,,3.0,4.0,,3.0,3.0,5.0,3.0,3.0,4.0,,4.0,4.0,,N0824,43.739166681099995,-79.42089963859999,311155.974,4844136.782
131223,4153617,2017.0,2021,1955.0,PRIVATE,14,Toronto-Danforth,856-858 BROADVIEW AVE,4,23,2021-04-30,66,Evaluation needs to be conducted in 2 years,14,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,,,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,,,S1424,43.679280285,-79.358423286,316192.655,4837481.068
131224,4156004,2018.0,2021,1945.0,PRIVATE,9,Davenport,34 ROSECLIFFE AVE,4,26,2021-04-30,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,3.0,2.0,3.0,,4.0,,2.0,3.0,4.0,5.0,3.0,3.0,4.0,,3.0,,,S0925,43.683920089,-79.44397293600001,309292.74600000004,4837996.205
131225,4270170,2017.0,2021,1972.0,PRIVATE,11,University-Rosedale,88 BLOOR ST E,25,336,2021-04-29,80,Evaluation needs to be conducted in 2 years,17,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,,,S1129,43.67085484850001,-79.3850117463,314057.161,4836551.058999999
131226,4569135,2019.0,2021,1956.0,PRIVATE,14,Toronto-Danforth,135 SAMMON AVE,3,11,2021-04-29,66,Evaluation needs to be conducted in 2 years,16,3.0,4.0,3.0,3.0,3.0,3.0,,4.0,,3.0,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,3.0,,S1422,43.6850791771,-79.3423568405,317493.881,4838136.9180000005
131227,4152634,2017.0,2021,1959.0,PRIVATE,21,Scarborough Centre,5 RANNOCK ST,4,28,2021-04-29,78,Evaluation needs to be conducted in 2 years,16,5.0,3.0,3.0,4.0,3.0,4.0,,3.0,,,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,,E2131,43.7284977107,-79.2991802272,320963.145,4842968.046
131228,4153652,2018.0,2021,1922.0,PRIVATE,14,Toronto-Danforth,796 CARLAW AVE,4,31,2021-04-29,58,Evaluation needs to be conducted in 1 year,13,3.0,3.0,4.0,3.0,,3.0,,3.0,,,3.0,3.0,2.0,3.0,3.0,3.0,,2.0,,,S1425,43.678845919,-79.34781782399999,317054.646,4837444.5819999995
131229,4153592,2017.0,2021,1910.0,PRIVATE,13,Toronto Centre,2 PROSPECT ST,4,15,2021-04-29,71,Evaluation needs to be conducted in 2 years,15,3.0,4.0,4.0,3.0,2.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,,,S1323,43.6667667454,-79.3716022421,315139.21,4836098.467
131230,4153646,2017.0,2021,1981.0,TCHC,14,Toronto-Danforth,369 PAPE AVE,8,139,2021-04-29,81,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,S1430,43.6698117311,-79.3407107259,317629.833,4836441.05
